id,address,type
5618,"55 Ashley Street",Residential
5619,"461 Grady Court",Residential
5620,"80 W Rutland Square",Residential
5621,"464 Lomasney Way",Residential
5622,"65 Parker Street",Residential
5623,"53 Lafayette Avenue",Residential
5624,"190 Follen Street",Business
5625,"879 Bethune Way",Business
5626,"589 Greenwich Park",Business
5627,"9250 Waltham Street",Residential
5628,"81 Holyoke Street",Business
5629,"410 Andrews Place",Residential
5630,"49 Elkins Street",Business
5631,"266 Kingston Street",Residential
5632,"8816 C Street",Business
5633,"1686 Newland Street",Business
5634,"95 Francis Street",Residential
5635,"991 Trustman Terrace",Business
5636,"65 Lilly Street",Residential
5637,"532 W Canton Street",Residential
5638,"675 Somerset Street",Residential
5639,"7 William F McClellan Highway",Residential
5640,"21 Beach Street",Business
5641,"0 Earl Street",Business
5642,"993 Coburn Court",Business
5643,"40 Harmony Street",Residential
5644,"462 Temple Street",Residential
5645,"197 Gillette Park",Residential
5646,"8691 St James Avenue",Residential
5647,"11 Chestnut Street",Business
5648,"92 Aldine Street",Residential
5649,"2959 Lamson Street",Business
5650,"49 Blackwood Street",Residential
5651,"745 B Street",Business
5652,"80 Myrtle Street",Residential
5653,"98 Lark Street",Business
5654,"310 Dalton Street",Residential
5655,"899 Addison Street",Residential
5656,"21 Ward Court",Residential
5657,"60 Collidge Avenue",Business
5658,"40 Black Falcon Avenue",Residential
5659,"332 Mission Park Drive",Residential
5660,"94 Woodward Place",Residential
5661,"331 Van Ness Street",Residential
5662,"5 Pembroke Street",Residential
5663,"9936 Belgravia Place",Residential
5664,"59 Leyden Street",Business
5665,"3 Leonard Place",Residential
5666,"72 Lovejoy Place",Residential
5667,"28 Salt Lane",Business
5668,"4249 Maverick Street",Business
5669,"2953 Oxford Street",Residential
5670,"49 Mount Washington Place",Residential
5671,"51 Chester Square",Residential
5672,"69 Dorchester Avenue",Residential
5673,"736 India Wharf",Residential
5674,"31 Strong Place",Residential
5675,"925 Kneeland Street",Business
5676,"182 University Road",Residential
5677,"64 W 4th Street",Business
5678,"55 Pine Street",Residential
5679,"818 E 8th Street",Residential
5680,"96 Wiget Street",Residential
5681,"6 Baldwin Place",Residential
5682,"330 Winchester Street",Residential
5683,"305 Adams Place",Residential
5684,"50 D Street",Business
5685,"76 Wareham Street",Residential
5686,"78 Newland Street",Residential
5687,"53 Tyler Street",Business
5688,"314 Burbank Street",Residential
5689,"340 Chester Square",Business
5690,"405 Post Office Square",Residential
5691,"665 Liverpool Street",Business
5692,"946 Thomas Park",Residential
5693,"39 Beverly Street",Residential
5694,"295 E Concord Street",Residential
5695,"457 New Edgerly Road",Residential
5696,"75 Arundel Street",Residential
5697,"666 Newbury Street",Residential
5698,"22 Aramon Street",Residential
5699,"476 Utica Street",Residential
5700,"923 Seaport Lane",Residential
5701,"70 Shawmut Avenue",Residential
5702,"966 Gage Street",Residential
5703,"454 Newhill Place",Business
5704,"5631 Rev Richard A Burke Street",Business
5705,"810 Dexter Street",Residential
5706,"559 E Brookline Street",Residential
5707,"9054 Broad Street",Residential
5708,"334 Commercial Wharf",Residential
5709,"151 Wesley Place",Residential
5710,"5932 Strong Place",Residential
5711,"45 Creek Square",Business
5712,"43 Commercial Wharf W",Business
5713,"296 Bennet Street",Residential
5714,"94 Somerset Street",Business
5715,"630 W 4th Street",Residential
5716,"158 Newmarket Square",Residential
5717,"859 Bennet Place",Residential
5718,"563 Stillman Street",Business
5719,"28 Charles Street",Residential
5720,"44 Park Plaza",Business
5721,"3 US Highway 20",Business
5722,"29 E Eagle Street",Residential
5723,"2328 Montmorenci Avenue",Business
5724,"44 Brannon Harris Way",Residential
5725,"870 W 5th Street",Business
5726,"867 Tufts Street",Residential
5727,"892 Bellingham Place",Business
5728,"983 Leman Place",Business
5729,"4 Lexington Street",Residential
5730,"557 Aquadilla Street",Business
5731,"44 O Street Place",Residential
5732,"3103 Derne Street",Residential
5733,"26 Ticknor Street",Residential
5734,"819 Crowley Rogers Way",Business
5735,"225 Province Street",Business
5736,"4618 Nashua Street",Residential
5737,"3904 Federal Court",Residential
5738,"27 S Market Street",Residential
5739,"196 Huntington Avenue",Residential
5740,"323 Whitby Street",Business
5741,"300 Maverick Street",Residential
5742,"9702 Wiggin Street",Business
5743,"437 Columbus Avenue",Residential
5744,"5 E Lenox Street",Business
5745,"90 Albemarle Street",Residential
5746,"2 Onslow Terrace",Business
5747,"49 Dartmouth Place",Business
5748,"984 Webster Street",Business
5749,"75 Hudson Street",Business
5750,"483 Atlantic Avenue",Business
5751,"145 Neptune Terrace",Residential
5752,"481 Leverett Circle",Business
5753,"942 Gaffney Street",Business
5754,"687 Morton Street",Business
5755,"98 Union Park Street",Residential
5756,"253 Burke Street",Residential
5757,"251 Richmond Street",Residential
5758,"10 Gainsborough Street",Business
5759,"46 Webster Avenue",Residential
5760,"207 Temple Street",Residential
5761,"149 Seaview Avenue",Residential
5762,"64 Claremont Street",Residential
5763,"52 Paul Place",Residential
5764,"17 Riverway",Business
5765,"97 Burlington Avenue",Residential
5766,"21 Kenmore Street",Residential
5767,"88 Falcon Street",Residential
5768,"96 Locke Place",Business
5769,"795 Curve Street",Residential
5770,"998 Leverett Circle",Residential
5771,"8070 Winter Street",Residential
5772,"720 Winthrop Street",Warehouse
5773,"10 N Street",Residential
5774,"2 Blackinton Street",Residential
5775,"4 Colburn Street",Residential
5776,"291 Northern Avenue",Residential
5777,"126 Exeter Place",Residential
5778,"757 Gates Street",Residential
5779,"678 W Canton Street",Residential
5780,"6169 Charles River Dam",Residential
5781,"77 Waltham Street",Business
5782,"6316 Pelham Street",Residential
5783,"77 Temple Street",Residential
5784,"93 Braddock Park",Residential
5785,"40 4th Street Place",Business
5786,"816 Burrill Place",Residential
5787,"64 Garden Court",Business
5788,"955 Richmond Street",Business
5789,"98 Saratoga Street",Residential
5790,"4306 W Haven Street",Residential
5791,"269 Leverett Circle",Business
5792,"81 Beacon Street",Business
5793,"587 Cowper Street",Business
5794,"84 Pittsburgh Street",Business
5795,"269 Newbury Street",Residential
5796,"827 Morton Street",Residential
5797,"433 Saratoga Street",Residential
5798,"937 Randolph Street",Residential
5799,"8567 Union Wharf",Residential
5800,"21 Eutaw Street",Residential
5801,"86 Taylor Street",Business
5802,"75 South Street",Residential
5803,"79 Harvard Way",Residential
5804,"314 Fulton Street",Residential
5805,"88 Buswell Street",Residential
5806,"9432 Blackstone Street",Warehouse
5807,"79 Old Harbor Street",Business
5808,"90 Thorn Street",Business
5809,"19 Neptune Court",Business
5810,"16 Liverpool Street",Residential
5811,"8364 Burbank Street",Business
5812,"778 W 3rd Street",Residential
5813,"273 Crowley Rogers Way",Business
5814,"917 Fountain Place",Business
5815,"908 Msgr Albert A Jacobbe Road",Business
5816,"2705 Charles River Square",Residential
5817,"3330 Copps Hill Terrace",Residential
5818,"64 Rutland Street",Residential
5819,"96 Exchange Street",Residential
5820,"351 Garden Ct Street",Residential
5821,"85 L Street",Residential
5822,"95 Hull Street Court",Residential
5823,"244 Atlantic Avenue",Business
5824,"2896 Joy Place",Residential
5825,"3505 Devine Way",Residential
5826,"7341 Leyden Street",Residential
5827,"725 Camden Street",Residential
5828,"4891 Border Street",Residential
5829,"2 Shelby Street",Residential
5830,"6899 Annavoy Street",Business
5831,"430 Summer Street",Residential
5832,"2 Nassau Street",Residential
5833,"36 W 3rd Street",Residential
5834,"123 Kneeland Street",Residential
5835,"1816 Mohawk Street",Residential
5836,"6429 Bethune Way",Residential
5837,"14 Msgr O'Callaghan Way",Residential
5838,"95 Lathrop Place",Residential
5839,"591 Museum Road",Business
5840,"47 Taylor Street",Residential
5841,"445 Paris Place",Business
5842,"5668 India Street",Residential
5843,"353 Strong Place",Residential
5844,"158 Pilsudski Way",Residential
5845,"1983 Coppersmith Way",Residential
5846,"32 Fay Street",Business
5847,"6002 Lawn Avenue",Business
5848,"83 Aldine Street",Business
5849,"226 Baldwin Place",Business
5850,"63 S Market Street",Business
5851,"89 Jerusalem Place",Residential
5852,"68 Cooper Street",Residential
5853,"952 Humboldt Place",Residential
5854,"17 Seaver Street",Residential
5855,"3668 Harvard Place",Residential
5856,"666 Charter Street",Business
5857,"13 Dilworth Street",Business
5858,"61 Fairfield Street",Business
5859,"400 O Street Place",Residential
5860,"504 Mount Washington Place",Residential
5861,"82 Avenue Louis Pasteur",Business
5862,"5630 Rollins Place",Business
5863,"95 Service Place",Business
5864,"347 E Newton Street",Residential
5865,"98 Everett Place",Business
5866,"669 4th Street Place",Business
5867,"566 Webster Place",Business
5868,"28 Vancouver Street",Business
5869,"305 Princeton Place",Residential
5870,"540 Necco Street",Business
5871,"680 Harbor Street",Business
5872,"22 Binney Street",Warehouse
5873,"75 Broadway",Residential
5874,"88 Father Songin Way",Business
5875,"43 E Street",Residential
5876,"27 State Route 2",Residential
5877,"241 Winthrop Street",Business
5878,"2005 Bay Street",Residential
5879,"47 Topeka Street",Business
5880,"3 Marshall Street",Residential
5881,"68 Ardee Street",Residential
5882,"9981 Blackstone Street",Residential
5883,"564 Creek Square",Residential
5884,"782 Dorchester Street",Residential
5885,"563 Winter Place",Business
5886,"373 Humboldt Place",Residential
5887,"23 Riverway",Business
5888,"586 Albemarle Court",Residential
5889,"283 Baldwin Street",Residential
5890,"93 Avon Street",Business
5891,"13 Paris Place",Residential
5892,"3695 Lindall Place",Business
5893,"52 Widett Circle",Business
5894,"992 Hanover Avenue",Business
5895,"617 Commonwealth Avenue",Residential
5896,"18 Schrepel Place",Residential
5897,"981 Ashburton Place",Residential
5898,"83 Mount Vernon Place",Residential
5899,"502 W Springfield Street",Business
5900,"489 Congress Street",Business
5901,"85 Keswick Street",Residential
5902,"10 Boylston Square",Residential
5903,"6 St Edward Road",Business
5904,"487 Wadsworth Place",Business
5905,"45 Bremen Place",Residential
5906,"66 Gifford Place",Business
5907,"691 Goodwin Place",Residential
5908,"7392 Durham Street",Business
5909,"452 Dorchester Avenue",Residential
5910,"284 Boylston Street",Residential
5911,"31 Albemarle Court",Residential
5912,"25 Porter Street",Business
5913,"43 Yard Way",Residential
5914,"81 E 5th Street",Business
5915,"29 Lilly Street",Residential
5916,"281 Necco Street",Business
5917,"683 North Street",Residential
5918,"369 Lawn Avenue",Business
5919,"847 Andrews Place",Residential
5920,"74 Glendon Place",Residential
5921,"434 Brigham Street",Residential
5922,"366 Sudbury Street",Residential
5923,"89 Emerald Court",Residential
5924,"71 Baxter Street",Residential
5925,"46 Milford Street",Residential
5926,"452 Revere Street",Residential
5927,"596 Fulton Street",Residential
5928,"729 Boardman Street",Residential
5929,"60 Baxter Street",Residential
5930,"319 South Street",Business
5931,"903 Johnny Court",Residential
5932,"704 Stoughton Street",Business
5933,"55 Waterford Street",Residential
5934,"81 Pilsudski Way",Business
5935,"521 Bennington Street",Business
5936,"84 Chelsea Terrace",Residential
5937,"75 Mt Washington Avenue",Business
5938,"448 Edgerly Road",Business
5939,"2513 Coppersmith Way",Residential
5940,"849 Federal Court",Residential
5941,"75 E Newton Street",Residential
5942,"145 Condor Street",Business
5943,"80 Snow Hill Street",Business
5944,"914 Emerald Court",Residential
5945,"9 Hardy Street",Residential
5946,"404 Alna Place",Business
5947,"590 Channel Street",Business
5948,"445 Yarmouth Street",Residential
5949,"50 Causeway Street",Business
5950,"491 Clarendon Street",Business
5951,"675 Goodwin Court",Residential
5952,"107 D Street",Residential
5953,"23 Causeway Street",Residential
5954,"46 Geneva Street",Residential
5955,"44 Sun Court Street",Business
5956,"668 Lovejoy Place",Business
5957,"70 Oconnor Way",Residential
5958,"3758 Emmet Place",Residential
5959,"661 Parkman Street",Residential
5960,"439 Rowes Wharf",Residential
5961,"95 Charles River Dam",Residential
5962,"286 Common Street",Residential
5963,"478 William Cardinal O'Connell Way",Residential
5964,"1452 White Street",Residential
5965,"864 Smith Court",Business
5966,"56 Teregram Street",Business
5967,"201 Saint Marys Street",Residential
5968,"8 Gavin Way",Business
5969,"46 Paul Place",Residential
5970,"937 Baldwin Place",Residential
5971,"70 Baldwin Street",Residential
5972,"12 Milton Place",Residential
5973,"37 Tudor Street",Residential
5974,"76 Harvard Way",Business
5975,"1975 Court Street",Business
5976,"372 Harris Street",Residential
5977,"921 Access Road",Residential
5978,"89 W Brookline Street",Business
5979,"7174 Albemarle Street",Residential
5980,"4012 Joyce Hayes Way",Residential
5981,"3006 Grimes Street",Residential
5982,"635 Newbury Street",Residential
5983,"36 Mission Park Drive",Residential
5984,"678 Design Center Place",Residential
5985,"2508 Gloucester Street",Business
5986,"92 Thorn Street",Business
5987,"767 Henderson Avenue",Residential
5988,"500 Bantry Way",Business
5989,"659 Ruth Street",Residential
5990,"498 Wadsworth Place",Residential
5991,"95 D Street",Business
5992,"9612 Boston Medical Center Place",Residential
5993,"81 Pacific Street",Residential
5994,"79 Hanover Street",Business
5995,"2347 Ward Street",Residential
5996,"171 Glendon Street",Business
5997,"33 Locke Place",Residential
5998,"103 Barrett Avenue",Business
5999,"36 Eagle Square",Business
6000,"383 White Street",Residential
6001,"6860 Flaherty Way",Business
6002,"262 Aquadilla Street",Business
6003,"25 E Eagle Street",Business
6004,"92 Charter Street",Business
6005,"438 Bridge Court",Residential
6006,"858 E 9th Street",Residential
6007,"78 Wheatley Way",Residential
6008,"7970 Well Street",Residential
6009,"426 Fleet Street",Residential
6010,"65 Randolph Street",Business
6011,"78 Joyce Hayes Way",Residential
6012,"27 E 4th Street",Residential
6013,"891 Harcourt Street",Residential
6014,"63 Blandford Street",Residential
6015,"32 Chauncy Street",Residential
6016,"17 Sun Court Street",Business
6017,"811 Leland Place",Business
6018,"34 E Berkeley Street",Residential
6019,"87 Cutler Court",Residential
6020,"88 Brannon Harris Way",Residential
6021,"365 Prince Street",Business
6022,"35 Warrenton Place",Residential
6023,"51 Wadleigh Place",Residential
6024,"70 Hull Street Court",Residential
6025,"80 Lawrence Street",Business
6026,"86 Ruth Street",Residential
6027,"4732 Eliot Street",Business
6028,"2132 Maple Place",Residential
6029,"970 W 6th Street",Residential
6030,"18 Peters Street",Business
6031,"62 White Street Place",Residential
6032,"26 Pine Street",Residential
6033,"868 Fenway",Business
6034,"651 Sharon Street",Residential
6035,"68 Emmons Street",Business
6036,"796 Fenwood Road",Business
6037,"318 Atlantic Avenue",Residential
6038,"5518 Faywood Avenue",Residential
6039,"80 University Road",Residential
6040,"90 Calvin Place",Residential
6041,"986 Sharon Street",Residential
6042,"238 Comet Place",Residential
6043,"947 State Route 28",Residential
6044,"3 Walnut Street",Residential
6045,"742 Fenway Plaza",Business
6046,"9 Bedford Street",Residential
6047,"835 Hawthorne Place",Residential
6048,"3536 E Street",Residential
6049,"213 Cumston Street",Residential
6050,"381 Staniford Street",Business
6051,"66 Joy Street",Residential
6052,"167 Fenway",Residential
6053,"58 Lawrence Court",Residential
6054,"261 E Dedham Street",Residential
6055,"407 Revere Street",Business
6056,"1263 Bullock Street",Residential
6057,"44 Hersey Place",Residential
6058,"115 Vienna Street",Business
6059,"9610 Barnes Avenue",Residential
6060,"721 Joslin Place",Business
6061,"240 Ipswich Street",Residential
6062,"73 Bakers Alley",Residential
6063,"133 Unity Street",Residential
6064,"611 Saratoga Place",Residential
6065,"22 Willow Street",Business
6066,"14 Jackson Place",Residential
6067,"3104 Lime Street",Residential
6068,"983 Salt Lane",Residential
6069,"67 Vicksburg Street",Residential
6070,"29 Dingley Place",Residential
6071,"1334 Elbow Street",Residential
6072,"4416 Summer Street",Residential
6073,"867 Linley Terrace",Business
6074,"917 Thorn Street",Business
6075,"597 Vienna Street",Business
6076,"69 Theodore Glynn Way",Residential
6077,"8098 Warren Avenue",Residential
6078,"55 N Hudson Street",Business
6079,"2 Necco Street",Residential
6080,"2 Coppersmith Way",Residential
6081,"518 Oconnor Way",Residential
6082,"371 Pemberton Square",Residential
6083,"362 Barrett Avenue",Residential
6084,"12 Scotia Street",Business
6085,"67 Hart Place",Residential
6086,"36 Munson Street",Business
6087,"22 Lowell Court",Residential
6088,"9046 Yarmouth Street",Business
6089,"718 Phillips Street",Residential
6090,"202 Bayswater Street",Business
6091,"8792 Bay State Place",Residential
6092,"883 Emmet Place",Residential
6093,"649 Tremont Place",Residential
6094,"923 W Brookline Street",Residential
6095,"3843 H Street Place",Residential
6096,"520 Fay Street",Residential
6097,"10 State Route 2",Residential
6098,"997 Gladstone Street",Residential
6099,"36 B Street",Residential
6100,"653 Oxford Street",Residential
6101,"285 Arch Street",Residential
6102,"284 Kilby Street",Residential
6103,"5769 W Andrews Place",Business
6104,"257 Broad Street",Residential
6105,"450 Franklin Avenue",Residential
6106,"259 Byron Street",Residential
6107,"74 W 9th Street",Business
6108,"88 Onslow Terrace",Residential
6109,"953 Fruit Street",Business
6110,"304 Union Park Street",Business
6111,"90 Bayswater Street",Business
6112,"79 W 5th Street",Residential
6113,"8947 W 2nd Street",Business
6114,"155 University Road",Business
6115,"20 Frankfort Street",Residential
6116,"235 Castle Court",Residential
6117,"66 Peterborough Street",Business
6118,"5542 Orleans Street",Business
6119,"88 Warrenton Street",Residential
6120,"62 Ipswich Street",Residential
6121,"644 Leeds Street",Residential
6122,"743 Logan Way",Residential
6123,"152 Central Street",Business
6124,"612 State Route 2",Residential
6125,"42 Father Francis Gilday Street",Residential
6126,"1687 Braddock Park",Residential
6127,"375 Brewster Street",Business
6128,"57 W 3rd Street Place",Residential
6129,"9326 Anthony Place",Residential
6130,"593 Gustin Street",Residential
6131,"86 N Street",Residential
6132,"827 Butler Place",Business
6133,"2559 Summer Street",Business
6134,"81 Boylston Street",Business
6135,"87 Henderson Avenue",Residential
6136,"491 Boston Street",Business
6137,"21 Salt Lane",Business
6138,"876 Bowen Street",Residential
6139,"925 National Street",Residential
6140,"10 Joyce Hayes Way",Residential
6141,"146 Hooten Court",Business
6142,"4397 Winthrop Street",Residential
6143,"8769 Boylston Street",Business
6144,"912 Wellington Road",Residential
6145,"516 Service Place",Residential
6146,"6948 Shepton Terrace",Residential
6147,"75 Bartlett Place",Residential
6148,"611 Lewis Street",Residential
6149,"47 Cross Street",Residential
6150,"661 Harrison Avenue",Residential
6151,"559 Locke Place",Residential
6152,"260 Huntington Avenue",Residential
6153,"593 Joy Street",Residential
6154,"92 Andrews Street",Business
6155,"4563 Humboldt Place",Residential
6156,"88 Seaver Place",Residential
6157,"64 Oak Street W",Residential
6158,"782 Yawkey Way",Residential
6159,"28 Carmody Court",Residential
6160,"16 Greenleaf Street",Residential
6161,"35 Selma Street",Residential
6162,"33 Eastern Avenue",Residential
6163,"801 Marginal Street",Residential
6164,"27 Lexington Street",Residential
6165,"67 Preble Street",Residential
6166,"80 Tremont Street",Residential
6167,"71 Swallow Street",Business
6168,"32 Mount Washington Place",Residential
6169,"69 Hayward Place",Business
6170,"397 Garden Arch",Business
6171,"938 Andrews Place",Business
6172,"5991 Tide Street",Business
6173,"652 Noble Court",Residential
6174,"547 Blandford Street",Residential
6175,"9912 Coleridge Street",Business
6176,"425 Ross Place",Business
6177,"57 Earl Street",Residential
6178,"38 Chelsea Terrace",Business
6179,"824 Cheever Court",Business
6180,"31 Bay Street",Business
6181,"752 Winter Street",Residential
6182,"81 Nassau Street",Business
6183,"451 Chatham Row",Business
6184,"88 Paris Court",Residential
6185,"8370 Mount Vernon Place",Business
6186,"525 Vienna Street",Business
6187,"538 South Street",Residential
6188,"562 Dyer Avenue",Residential
6189,"87 N Street",Residential
6190,"44 Canton Place",Business
6191,"10 Horace Street",Residential
6192,"578 Necco Place",Business
6193,"22 Dilworth Street",Residential
6194,"335 Goodwin Place",Residential
6195,"723 Charles Street",Business
6196,"898 Hanover Street Exd",Residential
6197,"8512 Francis Street",Residential
6198,"19 Ordway Place",Residential
6199,"92 Kilby Street",Business
6200,"4 Newhill Place",Residential
6201,"14 Richards Street",Residential
6202,"807 Trask Street",Business
6203,"808 Corey Avenue",Residential
6204,"320 Cedar Lane Way",Residential
6205,"350 Newbury Street",Residential
6206,"89 Old Atlantic Avenue",Residential
6207,"46 Southampton Street",Residential
6208,"355 Mercer Street",Business
6209,"864 Fairfield Street",Residential
6210,"1937 Shelby Street",Residential
6211,"2236 Hooten Court",Business
6212,"891 Atlantic Avenue",Residential
6213,"650 Glendon Street",Residential
6214,"996 W Cedar Street",Residential
6215,"842 Everett Court",Residential
6216,"44 3rd Place",Residential
6217,"976 India Street",Business
6218,"1 Lamson Court",Residential
6219,"23 Gillette Park",Residential
6220,"6 Atlantic Avenue",Residential
6221,"436 State Route 9",Residential
6222,"52 Garden Ct Street",Residential
6223,"142 Kilmarnock Street",Residential
6224,"4563 Randolph Street",Residential
6225,"305 Tide Street",Residential
6226,"168 North Street",Business
6227,"2396 Exeter Street",Residential
6228,"65 Sewall Place",Residential
6229,"6166 Henchman Street",Business
6230,"230 Fleet Street",Business
6231,"56 Yarmouth Place",Residential
6232,"327 Otis Street",Business
6233,"586 Preble Street",Residential
6234,"815 Ping on Street",Residential
6235,"163 Chestnut Street",Residential
6236,"672 Saint Andrew Road",Residential
6237,"543 Park Place",Residential
6238,"84 O Street Place",Business
6239,"96 Arlington Street",Business
6240,"471 National Street",Business
6241,"336 Cornhill Street",Residential
6242,"466 Oliver Street",Residential
6243,"426 State Route 28",Residential
6244,"488 Webb Park",Residential
6245,"87 Edgerly Place",Residential
6246,"405 Huntington Avenue",Business
6247,"7 Cedar Lane Way",Business
6248,"198 Woodward Street",Business
6249,"590 Mission Street",Residential
6250,"6563 Father Francis Gilday Street",Residential
6251,"58 Douglas Park",Residential
6252,"350 W 5th Street",Residential
6253,"6 Revere Street",Business
6254,"86 India Street",Business
6255,"652 Topeka Street",Residential
6256,"46 Neptune Circle",Residential
6257,"759 Newhill Place",Residential
6258,"74 M Street",Residential
6259,"63 Westbrook Street",Business
6260,"970 W Broadway",Business
6261,"506 Tileston Street",Business
6262,"487 Munson Street",Residential
6263,"6512 Edgerly Road",Business
6264,"960 Tudor Street",Residential
6265,"87 Eastern Avenue",Residential
6266,"15 Porter Street",Business
6267,"52 Benner Street",Business
6268,"785 E Gould Court",Residential
6269,"12 Gloucester Street",Business
6270,"52 Vancouver Street",Residential
6271,"672 State Route 2",Residential
6272,"12 Charlestown Brg",Residential
6273,"568 Wormwood Street",Residential
6274,"54 Wareham Street",Business
6275,"277 S Cedar Place",Business
6276,"53 Water Street",Residential
6277,"2348 West Street",Business
6278,"77 Porter Street",Business
6279,"8 Westland Avenue",Residential
6280,"516 Charles Street S",Business
6281,"7259 E Canton Street",Residential
6282,"4 Trinity Place",Residential
6283,"834 Landing Street",Business
6284,"26 Summer Street",Residential
6285,"701 Seaport Boulevard",Residential
6286,"83 Temple Place",Residential
6287,"412 Annavoy Street",Residential
6288,"890 Dalton Street",Business
6289,"87 W 2nd Street",Residential
6290,"36 Hudson Street",Business
6291,"80 Massachusetts Avenue",Residential
6292,"81 Chatham Row",Residential
6293,"95 Avon Street",Residential
6294,"693 Cutler Court",Residential
6295,"1611 Emerson Place",Residential
6296,"54 Primus Avenue",Residential
6297,"403 Edgerly Place",Residential
6298,"968 Plymouth Street",Business
6299,"727 St Albans Road",Residential
6300,"15 Old Harbor Street",Business
6301,"561 Staniford Street",Residential
6302,"86 McCormack Square",Residential
6303,"47 Farnsworth Street",Business
6304,"8 Schrepel Place",Business
6305,"18 Winter Place",Business
6306,"4042 K Street Place",Residential
6307,"562 Unity Court",Residential
6308,"6662 Gage Street",Residential
6309,"2022 Nay Street",Business
6310,"80 Lewis Street",Business
6311,"940 Custom House Street",Business
6312,"86 Mitchell Street",Residential
6313,"8979 Bond Street",Residential
6314,"88 Westland Avenue",Residential
6315,"93 B Street",Business
6316,"5 Marginal Street",Residential
6317,"5391 Short Street",Business
6318,"16 Willow Street",Residential
6319,"75 Oak Street",Business
6320,"53 Burrill Place",Residential
6321,"1 Seaver Street",Residential
6322,"81 Onslow Terrace",Residential
6323,"55 Marshall Street",Residential
6324,"673 Bennington Street",Business
6325,"2 Rollins Street",Residential
6326,"7 Lindall Place",Business
6327,"748 Kempton Street",Residential
6328,"793 Percival Place",Residential
6329,"259 Shattuck Street",Residential
6330,"2668 Nancia Street",Business
6331,"906 Mountfort Street",Residential
6332,"357 Dingley Place",Residential
6333,"286 Lennon Court",Residential
6334,"63 Aguadilla Street",Residential
6335,"79 Purchase Street",Residential
6336,"2 Peterborough Street",Residential
6337,"220 Decatur Street",Business
6338,"58 Snow Hill Street",Residential
6339,"2 Lawn Avenue",Business
6340,"57 Yarmouth Street",Residential
6341,"4422 Twomey Court",Residential
6342,"59 Salt Lane",Residential
6343,"88 Dartmouth Street",Business
6344,"495 Camden Street",Residential
6345,"40 Federal Court",Business
6346,"8559 Groton Street",Business
6347,"72 Meridian Street",Business
6348,"312 Lawson Place",Business
6349,"99 India Street",Business
6350,"9088 State Route 3",Residential
6351,"90 Ticknor Street",Residential
6352,"33 Garden Street",Business
6353,"299 Trenton Street",Residential
6354,"952 Hamilton Place",Residential
6355,"15 Onslow Terrace",Residential
6356,"570 Kneeland Street",Business
6357,"34 Bakers Alley",Residential
6358,"538 Lawrence Street",Residential
6359,"902 Charlesgate W",Residential
6360,"423 Father Songin Way",Residential
6361,"460 Riverway",Residential
6362,"5750 K Street",Residential
6363,"971 Commonwealth Avenue",Business
6364,"54 Granby Street",Residential
6365,"52 Parker Street",Residential
6366,"358 Blackinton Street",Residential
6367,"96 Wareham Street",Residential
6368,"116 Lewis Street",Residential
6369,"8737 State Route 2",Business
6370,"455 Father Songin Way",Business
6371,"763 Saint Andrew Road",Residential
6372,"12 Durham Street",Residential
6373,"89 Chickerling Place",Residential
6374,"69 Chardonnay Terrace",Business
6375,"471 Pine Street",Residential
6376,"393 Oak Place",Residential
6377,"632 Essex Street",Residential
6378,"24 Daves Way",Residential
6379,"874 Powers Court",Residential
6380,"211 Preble Street",Residential
6381,"236 N Anderson Street",Business
6382,"11 Rogers Street",Residential
6383,"83 Newcomb Street",Residential
6384,"306 Garden Court",Residential
6385,"70 Pie Alley",Business
6386,"19 Boylston Square",Residential
6387,"85 Laconia Street",Residential
6388,"19 St James Avenue",Residential
6389,"5275 Locke Place",Business
6390,"72 State Route 2",Residential
6391,"71 Pages Court",Residential
6392,"80 Eutaw Street",Business
6393,"827 James Street",Residential
6394,"50 Father Songin Way",Residential
6395,"859 Antrim Street",Residential
6396,"7429 Ashley Street",Residential
6397,"988 Dexter Street",Residential
6398,"4623 Kingston Street",Business
6399,"66 New Chardon Street",Business
6400,"75 Arch Way",Business
6401,"53 Foam Street",Residential
6402,"18 Trinity Place",Residential
6403,"937 Hanover Street",Business
6404,"511 Fairfield Place",Residential
6405,"255 Cornhill Street",Business
6406,"37 Barnes Avenue",Business
6407,"9129 Province Street",Residential
6408,"729 Ringold Street",Residential
6409,"925 Andrews Street",Residential
6410,"620 W 5th Street",Residential
6411,"760 Hudson Street",Residential
6412,"830 Lincoln Place",Business
6413,"52 Garden Arch",Residential
6414,"146 Pilsudski Way",Residential
6415,"12 Eastern Avenue",Residential
6416,"95 Otis Place",Business
6417,"1424 Goodwin Court",Business
6418,"87 Powers Court",Business
6419,"730 Garden Court",Residential
6420,"85 Bridge Court",Business
6421,"52 Putnam Avenue",Residential
6422,"6680 Church Street",Residential
6423,"38 Adams Place",Business
6424,"593 W Broadway",Residential
6425,"752 Lansdowne Street",Business
6426,"405 Loring Street",Residential
6427,"4 Gustin Street",Business
6428,"77 Strong Place",Residential
6429,"9840 Winthrop Square",Residential
6430,"71 Eagle Square",Residential
6431,"81 W 3rd Street",Business
6432,"2256 Kilmarnock Street",Business
6433,"69 Tetlow Street",Business
6434,"993 Preble Street",Residential
6435,"54 Anderson Avenue",Business
6436,"66 Daves Way",Residential
6437,"2919 Symphony Road",Residential
6438,"28 Richards Street",Business
6439,"57 Cottage Place",Residential
